"instruction","response"
"How to distribute 1200 EUR through Stripe?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 1200, ""currency"": ""eur""}}"
"Distribute 1200 EUR via Stripe.Transfer 1200 EUR through Stripe.Send 1200 EUR using Stripe.Make a payout of 1200 EUR via Stripe.Pay out 1200 EUR through Stripe.","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 1200, ""currency"": ""eur""}}"
"Can I payout 200 GBP?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 200, ""currency"": ""gbp""}}"
"Can I withdraw 200 GBP?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 200, ""currency"": ""gbp""}}"
"Can I transfer 200 GBP?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 200, ""currency"": ""gbp""}}"
"Is it possible to payout 200 GBP?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 200, ""currency"": ""gbp""}}"
"Can I send 200 GBP?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 200, ""currency"": ""gbp""}}"
"Can I release 200 GBP?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 200, ""currency"": ""gbp""}}"
"Process a payout for 15000 CAD","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 15000, ""currency"": ""cad""}}"
"Process a payout of 15000 Canadian dollars","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 15000, ""currency"": ""cad""}}"
"Make a payout for 15000 CAD","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 15000, ""currency"": ""cad""}}"
"Initiate a payout of 15000 CAD","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 15000, ""currency"": ""cad""}}"
"Execute a payout for 15000 CAD","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 15000, ""currency"": ""cad""}}"
"Transfer 15000 CAD as a payout","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 15000, ""currency"": ""cad""}}"
"I want to make a payout of 7000 JPY","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 7000, ""currency"": ""jpy""}}"
"Can you help me process a payout of 7000 JPY?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 7000, ""currency"": ""jpy""}}"
"Can you assist me in making a 7000 JPY payout?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 7000, ""currency"": ""jpy""}}"
"I need to make a payout of 7000 JPY, can you help me?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 7000, ""currency"": ""jpy""}}"
"Could you guide me in processing a payout of 7000 JPY?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 7000, ""currency"": ""jpy""}}"
"Is it possible for me to make a payout of 7000 JPY?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 7000, ""currency"": ""jpy""}}"
"Send a payout of 5000 USD to my bank","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
"Send a payout of 5000 USD to my bank","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
"Variation 1: Transfer 5000 USD to my bank account","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
