instruction,response
"Send a payout of 5000 USD to my bank","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
"Can I payout 200 GBP?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 200, ""currency"": ""gbp""}}"
"How to distribute 1200 EUR through Stripe?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 1200, ""currency"": ""eur""}}"
"I want to make a payout of 7000 JPY","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 7000, ""currency"": ""jpy""}}"
"Process a payout for 15000 CAD","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 15000, ""currency"": ""cad""}}"
"Could you help me payout 500 AUD?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 500, ""currency"": ""aud""}}"
"I need to send out 2500 MXN","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 2500, ""currency"": ""mxn""}}"
"Please make a payout of 100 CHF","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 100, ""currency"": ""chf""}}"
"Send a payout of 5000 USD to my bank","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
"Can I payout 200 GBP?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 200, ""currency"": ""gbp""}}"
"How to distribute 1200 EUR through Stripe?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 1200, ""currency"": ""eur""}}"
"I want to make a payout of 7000 JPY","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 7000, ""currency"": ""jpy""}}"
"Process a payout for 15000 CAD","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 15000, ""currency"": ""cad""}}"
"Could you help me payout 500 AUD?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 500, ""currency"": ""aud""}}"
"I need to send out 2500 MXN","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 2500, ""currency"": ""mxn""}}"
"Please make a payout of 100 CHF","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 100, ""currency"": ""chf""}}"
"Send a payout of 5000 USD to my bank","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 5000, ""currency"": ""usd""}}"
"Can I payout 200 GBP?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 200, ""currency"": ""gbp""}}"
"How to distribute 1200 EUR through Stripe?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 1200, ""currency"": ""eur""}}"
"I want to make a payout of 7000 JPY","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 7000, ""currency"": ""jpy""}}"
"Process a payout for 15000 CAD","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 15000, ""currency"": ""cad""}}"
"Could you help me payout 500 AUD?","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 500, ""currency"": ""aud""}}"
"I need to send out 2500 MXN","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 2500, ""currency"": ""mxn""}}"
"Please make a payout of 100 CHF","{""url"": ""https://api.stripe.com/v1/payouts"", ""method"": ""POST"", ""data"": {""amount"": 100, ""currency"": ""chf""}}"
